,brand,model,year,km_driven,fuel,seller_type,transmission,owner,torque,seats,consumption,volume,power,selling_price
37,Jeep,Compass,2019,5000,Petrol,Individual,1,0,250.0,5.0,16.0,1368.0,160.77,2100000
38,Honda,City,2018,28900,Petrol,Dealer,0,0,145.0,5.0,17.8,1497.0,117.3,925000
39,Honda,City,2013,86300,Petrol,Dealer,0,0,146.0,5.0,16.8,1497.0,116.3,425000
40,Maruti,Vitara,2018,32600,Diesel,Dealer,0,0,200.0,5.0,24.3,1248.0,88.5,819999
41,Maruti,Alto,2018,10300,Petrol,Dealer,0,0,90.0,5.0,23.95,998.0,67.05,390000
42,Toyota,Fortuner,2014,77000,Diesel,Dealer,0,0,343.0,7.0,12.55,2982.0,168.5,1500000
43,Toyota,Innova,2013,99000,Diesel,Dealer,0,0,200.0,7.0,12.99,2494.0,100.0,700000
44,Mercedes-Benz,B,2014,27800,Diesel,Dealer,1,1,200.0,5.0,14.8,2143.0,120.7,1450000
45,Honda,Amaze,2015,49800,Diesel,Dealer,0,0,200.0,5.0,24.7,1498.0,98.63,425000
46,Mitsubishi,Pajero,2013,151000,Diesel,Dealer,0,0,400.0,7.0,13.5,2477.0,175.56,1090000
47,Honda,City,2015,54700,Diesel,Dealer,0,0,200.0,5.0,26.0,1498.0,98.6,600000
48,Honda,Jazz,2015,63000,Diesel,Dealer,0,0,200.0,5.0,27.3,1498.0,98.6,525000
49,Toyota,Innova,2016,127700,Diesel,Dealer,1,1,360.0,7.0,11.36,2755.0,171.5,1650000
50,Toyota,Innova,2016,99000,Diesel,Dealer,0,0,200.0,7.0,12.99,2494.0,100.6,950000
51,Audi,A6,2013,33900,Diesel,Dealer,1,1,380.0,5.0,17.68,1968.0,174.33,1750000
52,Audi,A6,2013,50000,Diesel,Dealer,1,0,400.0,5.0,18.53,1968.0,187.74,1689999
53,Mercedes-Benz,New,2013,59000,Diesel,Dealer,1,0,400.0,5.0,14.84,2143.0,170.0,1425000
54,Tata,Manza,2011,120000,Diesel,Individual,0,0,200.0,5.0,21.12,1248.0,88.8,265000
55,Hyundai,i10,2011,110000,Petrol,Individual,0,2,111.7,5.0,20.36,1197.0,78.9,190000
56,Hyundai,i20,2013,60000,Diesel,Individual,0,0,219.6,5.0,21.27,1396.0,88.76,425000
57,Maruti,Swift,2015,147000,Diesel,Individual,0,1,190.0,5.0,26.59,1248.0,74.0,630000
58,Ford,Figo,2017,25000,Petrol,Individual,0,2,112.0,5.0,18.16,1196.0,86.8,600000
59,Maruti,Baleno,2019,30000,Petrol,Individual,0,0,115.0,5.0,21.4,1197.0,83.1,650000
60,Volkswagen,Ameo,2016,40000,Diesel,Individual,0,0,250.0,5.0,22.0,1498.0,108.495,540000
61,Honda,City,2015,135000,Diesel,Individual,0,0,200.0,5.0,25.1,1498.0,98.6,630000
62,Maruti,Wagon,2018,30000,Petrol,Individual,1,0,90.0,5.0,20.51,998.0,67.0,448000
63,Volkswagen,Ameo,2017,80000,Diesel,Individual,0,0,250.0,5.0,21.66,1498.0,108.62,500000
64,Maruti,Vitara,2019,9850,Diesel,Individual,1,0,200.0,5.0,24.3,1248.0,88.5,1025000
65,Maruti,Swift,2016,70000,Diesel,Individual,0,0,190.0,5.0,25.2,1248.0,74.0,630000
66,Toyota,Fortuner,2015,78000,Diesel,Individual,0,1,343.0,7.0,12.55,2982.0,168.5,1700000
67,Maruti,Swift,2013,120000,Diesel,Individual,0,1,190.0,5.0,22.9,1248.0,74.0,450000
68,Maruti,Ertiga,2012,120000,Petrol,Individual,0,1,130.0,7.0,16.02,1373.0,93.7,450000
70,Volkswagen,Vento,2013,170000,Diesel,Individual,0,0,250.0,5.0,20.54,1598.0,103.6,450000
71,Toyota,Innova,2016,140000,Diesel,Individual,0,0,200.0,8.0,12.99,2494.0,100.6,1200000
72,Ford,EcoSport,2015,90000,Diesel,Individual,0,0,205.0,5.0,22.77,1498.0,98.59,610000
73,BMW,X1,2016,30000,Petrol,Individual,1,1,280.0,5.0,15.71,1998.0,189.0,2500000
74,Maruti,Celerio,2017,10000,Petrol,Dealer,0,0,90.0,5.0,23.1,998.0,67.04,484999
75,Datsun,GO,2016,49000,Petrol,Dealer,0,0,104.0,5.0,19.02,1198.0,67.05,275000
76,Maruti,Alto,2016,32000,Petrol,Dealer,0,0,69.0,5.0,24.7,796.0,47.3,315000
77,Maruti,Alto,2016,38000,Petrol,Dealer,0,0,69.0,5.0,24.7,796.0,47.3,275000
79,Hyundai,i10,2012,28000,Petrol,Dealer,0,0,99.04,5.0,19.81,1086.0,68.05,290000
80,Maruti,Omni,2017,32000,Petrol,Dealer,0,0,60.0,5.0,14.0,796.0,35.0,280000
81,Maruti,Wagon,2010,44000,LPG,Dealer,0,0,77.0,5.0,26.2,998.0,58.2,225000
82,Volkswagen,Polo,2015,42000,Petrol,Dealer,0,0,110.0,5.0,16.47,1198.0,74.0,455000
83,Hyundai,i10,2015,45000,Petrol,Dealer,0,1,99.04,5.0,19.81,1086.0,68.05,351000
84,Volkswagen,Vento,2012,12000,Petrol,Dealer,0,1,153.0,5.0,15.04,1598.0,103.6,535000
85,Maruti,Zen,2009,55500,Petrol,Dealer,0,0,90.0,5.0,18.2,998.0,67.1,175000
86,Hyundai,i20,2013,61500,Petrol,Dealer,0,0,113.7,5.0,18.5,1197.0,82.85,525000
87,Maruti,Swift,2016,150000,Diesel,Individual,0,0,190.0,5.0,26.59,1248.0,74.0,600000
88,Hyundai,Xcent,2016,72000,Petrol,Dealer,1,0,114.0,5.0,19.1,1197.0,82.0,565000
89,Maruti,Alto,2008,68000,Petrol,Dealer,0,2,62.0,5.0,19.7,796.0,46.3,120000
90,Hyundai,i20,2017,110000,Diesel,Individual,0,0,219.7,5.0,22.54,1396.0,88.73,725000
91,Maruti,Wagon,2009,77000,Petrol,Dealer,0,1,90.0,5.0,21.79,998.0,67.05,185000
92,Tata,Manza,2010,100000,Diesel,Individual,0,1,200.0,5.0,18.8,1248.0,90.0,200000
93,Maruti,Swift,2019,10000,Petrol,Individual,0,0,113.0,5.0,21.21,1197.0,81.8,615000
94,Maruti,Baleno,2018,35000,Petrol,Individual,0,0,115.0,5.0,21.4,1197.0,83.1,610000
95,Mahindra,Scorpio,2014,70000,Diesel,Individual,1,1,290.0,8.0,11.79,2179.0,120.0,625000
96,Ford,Freestyle,2020,5000,Petrol,Individual,0,1,120.0,5.0,19.0,1194.0,94.68,400000
97,Hyundai,Verna,2017,37800,Petrol,Individual,0,0,151.0,5.0,17.0,1591.0,121.3,866000
98,Volkswagen,Passat,2010,114000,Petrol,Individual,0,0,250.0,5.0,14.3,1798.0,160.0,700000
99,Mahindra,XUV500,2019,32000,Diesel,Individual,0,0,360.0,7.0,15.1,2179.0,155.0,1700000
100,Tata,Indigo,2016,100000,Diesel,Individual,0,0,135.0,5.0,19.09,1405.0,69.01,375000
101,Hyundai,Verna,2013,150000,Diesel,Individual,0,1,259.8,5.0,22.32,1582.0,126.32,522000
102,Hyundai,i20,2013,69000,Diesel,Individual,0,0,219.6,5.0,21.9,1396.0,88.76,451999
103,Toyota,Corolla,2009,100000,Petrol,Individual,0,1,173.0,5.0,14.53,1798.0,138.1,300000
104,Maruti,Celerio,2020,13000,Petrol,Individual,0,0,90.0,5.0,21.63,998.0,67.04,475000
105,Maruti,Vitara,2016,60000,Diesel,Individual,0,0,200.0,5.0,24.3,1248.0,88.5,780000
106,Maruti,Swift,2017,40000,Petrol,Individual,0,0,115.0,5.0,20.85,1197.0,83.14,595000
108,Nissan,Terrano,2014,70000,Diesel,Individual,0,2,200.0,5.0,20.45,1461.0,83.8,400000
109,Hyundai,Creta,2016,50000,Diesel,Individual,0,0,259.9,5.0,19.67,1582.0,126.2,1140000
110,Maruti,Swift,2012,175000,Diesel,Individual,0,3,190.0,5.0,19.3,1248.0,73.9,370000
111,Renault,KWID,2018,25000,Petrol,Individual,0,0,91.0,5.0,23.01,999.0,67.0,350000
112,Maruti,Celerio,2015,40000,Petrol,Individual,0,1,90.0,5.0,23.1,998.0,67.04,360000
113,Maruti,Alto,2008,65000,Petrol,Individual,0,3,62.0,5.0,19.7,796.0,46.3,105000
114,Hyundai,Santro,2009,80000,Petrol,Individual,0,1,96.1,5.0,17.92,1086.0,62.1,135000
115,Maruti,Ertiga,2015,110000,Diesel,Individual,0,1,200.0,7.0,20.77,1248.0,88.76,700000
116,Honda,Amaze,2019,1303,Petrol,Dealer,0,0,109.0,5.0,17.8,1198.0,86.7,690000
117,Audi,Q5,2018,31800,Diesel,Dealer,1,0,400.0,5.0,17.01,1968.0,188.0,3975000
118,Lexus,ES,2019,20000,Petrol,Dealer,1,0,202.0,5.0,22.37,2487.0,214.56,5150000
119,Jaguar,XF,2017,45000,Diesel,Dealer,1,0,430.0,5.0,19.33,1999.0,177.0,3200000
120,Land,Rover,2019,21000,Diesel,Dealer,1,0,382.0,7.0,12.83,1999.0,148.31,4500000
121,Mercedes-Benz,S-Class,2017,37000,Diesel,Dealer,1,0,620.0,5.0,13.5,2987.0,254.79,6000000
122,BMW,5,2018,29500,Diesel,Dealer,1,0,400.0,5.0,22.48,1995.0,187.74,3790000
124,BMW,X4,2019,7500,Diesel,Dealer,1,0,400.0,5.0,16.78,1995.0,190.0,5800000
125,Skoda,Superb,2018,50000,Petrol,Dealer,1,0,250.0,5.0,14.67,1798.0,177.46,1864999
126,Mercedes-Benz,E-Class,2016,35000,Diesel,Dealer,1,0,500.0,5.0,15.0,2143.0,204.0,2700000
127,MG,Hector,2019,19000,Petrol,Dealer,1,0,250.0,5.0,13.96,1451.0,141.0,1750000
128,Toyota,Corolla,2013,39000,Petrol,Dealer,1,0,173.0,5.0,14.28,1798.0,138.03,625000
129,Volvo,XC40,2018,22000,Diesel,Dealer,1,0,400.0,5.0,18.0,1969.0,190.0,3400000
130,Audi,Q7,2015,53000,Diesel,Dealer,1,0,550.0,7.0,12.07,2967.0,241.4,2650000
131,Maruti,Ciaz,2015,40000,Diesel,Dealer,0,0,200.0,5.0,26.21,1248.0,88.5,535000
132,Mercedes-Benz,S-Class,2017,47000,Diesel,Dealer,1,0,490.0,5.0,13.5,2987.0,282.0,5850000
133,BMW,5,2010,72200,Petrol,Dealer,1,1,250.0,5.0,10.8,2497.0,150.0,975000
134,Jaguar,XE,2017,9000,Diesel,Dealer,1,0,430.0,5.0,13.6,1999.0,177.0,2625000
135,Tata,Nexon,2018,11000,Petrol,Dealer,0,0,170.0,5.0,17.0,1198.0,108.5,811000
136,Volkswagen,Vento,2011,49000,Petrol,Individual,0,0,153.0,5.0,15.04,1598.0,103.6,375000
137,Hyundai,Elantra,2012,95000,Petrol,Individual,0,0,177.5,5.0,16.3,1797.0,147.5,550000
138,Skoda,Rapid,2016,11000,Petrol,Dealer,1,0,153.0,5.0,14.3,1598.0,103.5,645000
139,Mercedes-Benz,CLA,2018,18000,Petrol,Dealer,1,0,300.0,5.0,15.04,1991.0,183.0,2550000
140,Mercedes-Benz,New,2017,16000,Petrol,Dealer,1,0,300.0,5.0,14.74,1991.0,181.04,2700000
141,Honda,City,2017,18000,Petrol,Dealer,1,0,146.0,5.0,15.6,1497.0,116.3,875000
142,Toyota,Glanza,2019,9654,Petrol,Dealer,1,0,113.0,5.0,19.56,1197.0,81.8,894999
143,Maruti,Alto,2011,11000,Petrol,Dealer,0,0,90.0,5.0,23.95,998.0,67.05,175000
144,Maruti,Swift,2012,24300,Petrol,Dealer,0,0,113.0,5.0,21.21,1197.0,81.8,340000
145,Tata,Nexon,2018,8000,Diesel,Dealer,1,0,260.0,5.0,21.5,1497.0,108.5,1025000
146,BMW,3,2016,30000,Diesel,Dealer,1,0,400.0,5.0,22.69,1995.0,190.0,2150000
147,Toyota,Camry,2016,41000,Petrol,Dealer,1,0,213.0,5.0,19.16,2494.0,157.7,1900000
148,BMW,5,2016,12000,Diesel,Dealer,1,0,400.0,5.0,18.12,1995.0,190.0,2900000
149,Toyota,Camry,2009,71000,Petrol,Dealer,1,0,224.0,5.0,12.1,2362.0,164.7,450000
150,Maruti,Ertiga,2016,20000,Petrol,Individual,0,0,130.0,7.0,17.5,1373.0,91.1,850000
152,Ford,Figo,2018,9500,Petrol,Individual,0,0,112.0,5.0,18.16,1196.0,86.8,575000
153,Ford,Figo,2011,120000,Diesel,Individual,0,0,160.0,5.0,20.0,1399.0,68.0,160000
154,Maruti,Swift,2015,36600,Petrol,Individual,0,0,113.0,5.0,20.4,1197.0,81.8,515000
155,Maruti,Wagon,2015,50000,Petrol,Individual,1,1,90.0,5.0,20.51,998.0,67.0,390000
156,Hyundai,i20,2016,14000,Petrol,Individual,0,1,114.7,5.0,18.6,1197.0,81.83,550000
157,Maruti,800,1999,40000,Petrol,Individual,0,1,59.0,4.0,16.1,796.0,37.0,40000
158,Maruti,Ritz,2010,120000,Diesel,Individual,0,0,113.0,5.0,21.1,1248.0,73.9,220000
159,Hyundai,Grand,2015,70000,Petrol,Individual,0,0,114.0,5.0,18.9,1197.0,82.0,425000
160,Volkswagen,Ameo,2019,13000,Petrol,Individual,0,0,95.0,5.0,19.44,999.0,75.0,480000
161,Maruti,Swift,2014,35000,Petrol,Individual,0,0,114.0,5.0,19.1,1197.0,85.8,487000
162,Hyundai,Xcent,2016,44000,Petrol,Individual,0,1,114.0,5.0,19.1,1197.0,82.0,386000
163,Honda,City,2005,120000,Petrol,Individual,0,1,128.0,5.0,13.0,1493.0,100.0,100000
164,Toyota,Corolla,2010,60000,Diesel,Individual,0,0,205.0,5.0,21.43,1364.0,87.2,300000
165,Daewoo,Matiz,2000,60000,Petrol,Individual,0,0,71.0,5.0,18.5,796.0,53.0,100000
166,Toyota,Fortuner,2014,30000,Diesel,Individual,0,1,343.0,7.0,13.0,2982.0,168.5,1750000
167,Mahindra,KUV,2016,15000,Petrol,Individual,0,1,115.0,6.0,18.15,1198.0,82.0,450000
168,Tata,Zest,2017,90000,Diesel,Individual,0,0,190.0,5.0,22.95,1248.0,74.0,490000
169,Honda,City,2009,47000,Petrol,Individual,0,1,146.0,5.0,17.0,1497.0,118.0,345000
170,Maruti,Zen,2005,90000,Petrol,Individual,0,0,78.0,5.0,17.3,993.0,60.0,85000
171,Hyundai,Getz,2005,86000,Petrol,Individual,0,0,115.0,5.0,15.3,1341.0,83.0,65000
172,Maruti,Ciaz,2017,37000,Diesel,Individual,0,0,200.0,5.0,28.09,1248.0,88.5,800000
173,Tata,Tigor,2019,14000,Petrol,Individual,0,0,114.0,5.0,20.3,1199.0,84.0,520000
174,Maruti,Ertiga,2015,70000,Diesel,Individual,0,0,200.0,7.0,20.77,1248.0,88.76,580000
176,Honda,City,2015,50000,Petrol,Individual,0,0,145.0,5.0,17.4,1497.0,117.3,600000
177,Maruti,Wagon,2016,50000,CNG,Individual,0,0,77.0,5.0,26.6,998.0,58.16,360000
178,Maruti,Swift,2017,50000,Petrol,Individual,0,0,115.0,5.0,20.85,1197.0,83.14,550000
180,Maruti,Wagon,2018,35000,Petrol,Individual,1,0,90.0,5.0,20.51,998.0,67.0,420000
181,Maruti,Swift,2017,20000,Petrol,Individual,0,0,113.0,5.0,21.21,1197.0,81.8,550000
182,Maruti,Swift,2018,7800,Petrol,Individual,1,0,113.0,5.0,22.0,1197.0,81.8,700000
183,Maruti,Swift,2017,20000,Petrol,Individual,0,0,113.0,5.0,20.4,1197.0,81.8,500000
184,Tata,Hexa,2019,15000,Diesel,Individual,0,0,320.0,7.0,17.6,2179.0,147.94,1250000
185,Hyundai,i20,2013,31377,Petrol,Individual,0,1,113.7,5.0,18.5,1197.0,82.85,320000
186,Maruti,Swift,2018,50000,Diesel,Individual,0,0,190.0,5.0,28.4,1248.0,74.02,700000
187,Maruti,Wagon,2015,60000,Petrol,Individual,0,0,90.0,5.0,20.51,998.0,67.04,290000
188,Toyota,Corolla,2012,100000,Petrol,Individual,1,0,173.0,5.0,14.53,1794.0,138.1,550000
189,Maruti,Baleno,2018,5000,Petrol,Individual,1,0,115.0,5.0,21.4,1197.0,83.1,830000
190,Tata,Safari,2017,60000,Diesel,Individual,0,0,320.0,7.0,14.1,2179.0,147.94,800000
191,Datsun,GO,2017,80000,Petrol,Individual,0,1,104.0,5.0,20.63,1198.0,67.0,329000
192,Maruti,Vitara,2017,75000,Diesel,Individual,0,0,200.0,5.0,24.3,1248.0,88.5,775000
193,Hyundai,Xcent,2020,32000,Petrol,Individual,0,0,113.75,5.0,20.14,1197.0,81.86,524000
194,Maruti,Alto,2015,40000,Petrol,Individual,0,0,69.0,5.0,22.74,796.0,47.3,245000
195,Hyundai,i20,2012,93000,Petrol,Individual,0,1,112.0,5.0,17.0,1197.0,80.0,275000
196,Tata,Zest,2018,60000,Petrol,Individual,0,0,140.0,5.0,17.57,1193.0,88.7,520000
198,Nissan,Sunny,2014,37000,Petrol,Individual,0,0,134.0,5.0,16.95,1498.0,97.7,550000
199,Ford,EcoSport,2018,15000,Petrol,Individual,0,0,150.0,5.0,17.0,1497.0,121.36,910000
200,Maruti,Wagon,2016,140000,Petrol,Individual,0,0,90.0,5.0,20.51,998.0,67.04,350000
201,Mahindra,Ssangyong,2013,70000,Diesel,Individual,0,0,340.0,7.0,12.83,2696.0,162.0,900000
202,Mahindra,Quanto,2013,120000,Diesel,Individual,0,1,240.0,7.0,17.21,1493.0,100.0,300000
203,Maruti,Ritz,2010,110000,Diesel,Individual,0,1,190.0,5.0,21.1,1248.0,73.9,250000
204,Hyundai,Creta,2017,37000,Diesel,Individual,0,0,259.9,5.0,19.67,1582.0,126.2,1100000
205,Renault,KWID,2016,44000,Petrol,Individual,0,0,72.0,5.0,25.17,799.0,53.3,270000
206,Maruti,Ertiga,2015,80000,Diesel,Individual,0,0,200.0,7.0,20.77,1248.0,88.76,640000
207,Mahindra,XUV500,2015,125000,Diesel,Individual,0,0,330.0,7.0,15.1,2179.0,140.0,650000
208,Maruti,Eeco,2017,13500,Petrol,Individual,0,0,101.0,5.0,15.37,1196.0,73.0,409999
209,Hyundai,Santro,2011,75000,Petrol,Individual,0,0,96.1,5.0,17.92,1086.0,62.1,165000
210,Hyundai,Accent,2007,120000,Petrol,Individual,0,1,123.0,5.0,13.2,1495.0,94.0,80000
211,Mahindra,XUV500,2012,120000,Diesel,Individual,0,0,330.0,7.0,15.1,2179.0,140.0,535000
212,Toyota,Innova,2013,70000,Diesel,Individual,0,0,200.0,7.0,12.99,2494.0,100.57,700000
213,Maruti,Swift,2013,70000,Diesel,Individual,0,0,190.0,5.0,23.4,1248.0,74.0,550000
214,Honda,Amaze,2019,15000,Petrol,Individual,1,0,110.0,5.0,19.0,1199.0,88.76,680000
215,Hyundai,i10,2009,53000,Petrol,Individual,0,1,111.8,5.0,20.36,1197.0,78.9,200000
216,Maruti,Swift,2014,120000,Diesel,Individual,0,1,190.0,5.0,23.4,1248.0,74.0,500000
217,Maruti,Ertiga,2016,70000,Diesel,Individual,0,0,200.0,7.0,24.52,1248.0,88.5,1000000
218,Hyundai,Getz,2008,120000,Petrol,Individual,0,1,116.0,5.0,14.2,1341.0,82.9,110000
219,Hyundai,i20,2012,100000,Petrol,Individual,0,1,112.0,5.0,18.5,1197.0,80.0,320000
221,Maruti,Swift,2015,100000,Petrol,Individual,0,0,113.0,5.0,20.4,1197.0,83.11,350000
222,Tata,Indica,2013,162500,Diesel,Individual,0,0,135.4,5.0,19.4,1405.0,70.0,170000
223,Hyundai,i20,2017,39000,Diesel,Individual,0,0,219.7,5.0,22.54,1396.0,88.73,800000
224,Maruti,Ignis,2017,75000,Diesel,Individual,0,0,190.0,5.0,26.8,1248.0,74.0,500000
225,Tata,Hexa,2017,50000,Diesel,Individual,1,0,400.0,7.0,17.6,2179.0,153.86,1380000
226,Mahindra,Marazzo,2019,40000,Diesel,Individual,0,0,300.0,8.0,17.3,1497.0,121.0,1300000
227,Hyundai,Verna,2013,92500,Diesel,Individual,0,0,259.9,5.0,22.32,1582.0,126.3,530000
228,Maruti,Swift,2012,158000,Diesel,Individual,0,0,190.0,5.0,23.4,1248.0,74.0,360000
229,Maruti,Swift,2012,120000,Diesel,Individual,0,0,190.0,5.0,19.3,1248.0,73.9,310000
230,Honda,City,2015,50000,Diesel,Individual,0,1,200.0,5.0,26.0,1498.0,98.6,725000
231,Maruti,Swift,2012,110000,Diesel,Individual,0,0,190.0,5.0,19.3,1248.0,73.9,340000
232,Hyundai,Xcent,2017,2000,Diesel,Individual,0,1,190.25,5.0,25.4,1186.0,73.97,550000
233,Tata,Tiago,2016,70000,Diesel,Individual,0,0,140.0,5.0,27.28,1047.0,69.0,380000
234,Nissan,Sunny,2013,90000,Petrol,Individual,1,1,134.0,5.0,17.97,1498.0,99.6,350000
235,Hyundai,Elite,2019,2000,Petrol,Individual,0,0,117.0,5.0,18.6,1197.0,81.86,610000
236,Maruti,Swift,2015,20000,Petrol,Individual,0,0,115.0,5.0,20.85,1197.0,83.14,525000
237,Toyota,Innova,2011,120000,Diesel,Individual,0,0,200.0,7.0,12.8,2494.0,102.0,480000
238,Mahindra,Thar,2017,35000,Diesel,Individual,0,0,247.0,6.0,16.55,2498.0,105.0,780000
239,Maruti,Swift,2012,193000,Diesel,Individual,0,0,190.0,5.0,19.3,1248.0,73.9,320000
240,Maruti,Swift,2014,80000,Petrol,Individual,0,0,113.0,5.0,20.4,1197.0,81.8,375000
241,Datsun,GO,2019,40000,Petrol,Individual,0,0,104.0,5.0,19.02,1198.0,67.05,300000
242,Hyundai,i20,2015,70000,Diesel,Individual,0,3,219.7,5.0,22.54,1396.0,88.73,500000
243,Mahindra,Scorpio,2011,122358,Diesel,Individual,0,0,290.0,9.0,12.05,2179.0,120.0,404000
244,Tata,Tiago,2017,120000,Diesel,Individual,0,0,140.0,5.0,27.28,1047.0,69.0,350000
245,Tata,Zest,2015,40000,Petrol,Individual,0,0,140.0,5.0,17.57,1193.0,88.7,380000
246,Honda,Brio,2014,33033,Petrol,Dealer,0,0,109.0,5.0,19.4,1198.0,86.8,335000
247,Hyundai,Grand,2015,63063,Petrol,Dealer,1,0,114.0,5.0,18.9,1197.0,82.0,465000
248,Tata,Manza,2012,60000,Diesel,Individual,0,0,200.0,5.0,21.02,1248.0,88.76,290000
249,Maruti,Alto,2005,45000,Petrol,Individual,0,1,62.0,5.0,19.7,796.0,46.3,110000
250,Mahindra,Bolero,2007,207890,Diesel,Individual,0,1,180.0,7.0,13.6,2523.0,63.0,210000
251,Mercedes-Benz,GL-Class,2018,7976,Diesel,Individual,1,0,400.0,5.0,17.9,2143.0,170.0,4600000
252,Maruti,Omni,2016,35000,Petrol,Individual,0,0,59.0,8.0,16.8,796.0,34.2,220000
253,Hyundai,Grand,2017,35000,Petrol,Individual,0,0,114.0,5.0,18.9,1197.0,82.0,450000
255,Hyundai,i10,2013,50000,Petrol,Individual,1,0,111.8,5.0,16.95,1197.0,78.9,290000
256,Hyundai,i10,2011,20000,Petrol,Individual,1,0,111.8,5.0,16.95,1197.0,78.9,265000
257,Maruti,Swift,2012,50000,Petrol,Individual,0,1,114.0,5.0,18.6,1197.0,85.8,330000
259,Mahindra,Bolero,2014,120000,Diesel,Individual,0,0,195.0,7.0,15.96,2523.0,62.1,509999
260,Hyundai,Verna,2014,70000,Petrol,Individual,0,0,154.9,5.0,17.1,1591.0,121.3,500000
261,Hyundai,i20,2015,50000,Petrol,Individual,0,0,114.73,5.0,17.19,1197.0,81.86,525000
262,Maruti,Baleno,2019,16500,Petrol,Individual,0,0,113.0,5.0,21.01,1197.0,81.8,675000
263,Hyundai,i20,2010,70000,Petrol,Individual,0,0,112.0,5.0,17.0,1197.0,80.0,300000
264,Maruti,Alto,2005,99361,Petrol,Individual,0,1,62.0,5.0,19.7,796.0,46.3,90000
265,Maruti,Swift,2014,70000,Petrol,Individual,0,1,114.0,5.0,19.1,1197.0,85.8,409000
266,Hyundai,Grand,2015,80000,Diesel,Individual,0,1,160.0,5.0,24.0,1120.0,70.0,395000
